date;heure;NO2
;;microg/m3
23/09/2016;1;57
23/09/2016;2;54
23/09/2016;3;58
23/09/2016;4;56
23/09/2016;5;55
23/09/2016;6;72
23/09/2016;7;75
23/09/2016;8;83
23/09/2016;9;n/d
23/09/2016;10;49
23/09/2016;11;31
23/09/2016;12;34
23/09/2016;13;38
23/09/2016;14;40
23/09/2016;15;58
23/09/2016;16;36
23/09/2016;17;50
23/09/2016;18;55
23/09/2016;19;165
23/09/2016;20;143
23/09/2016;21;128
23/09/2016;22;115
23/09/2016;23;108
23/09/2016;24;102
24/09/2016;1;94
24/09/2016;2;91
24/09/2016;3;73
24/09/2016;4;71
24/09/2016;5;47
24/09/2016;6;55
24/09/2016;7;54
24/09/2016;8;54
24/09/2016;9;49
24/09/2016;10;42
24/09/2016;11;31
24/09/2016;12;18
24/09/2016;13;12
24/09/2016;14;13
24/09/2016;15;17
24/09/2016;16;18
24/09/2016;17;19
24/09/2016;18;39
24/09/2016;19;50
24/09/2016;20;53
24/09/2016;21;49
24/09/2016;22;43
24/09/2016;23;36
24/09/2016;24;41
25/09/2016;1;27
25/09/2016;2;23
25/09/2016;3;17
25/09/2016;4;15
25/09/2016;5;17
25/09/2016;6;19
25/09/2016;7;18
25/09/2016;8;18
25/09/2016;9;14
25/09/2016;10;17
25/09/2016;11;26
25/09/2016;12;28
25/09/2016;13;26
25/09/2016;14;17
25/09/2016;15;16
25/09/2016;16;20
25/09/2016;17;20
25/09/2016;18;54
25/09/2016;19;52
25/09/2016;20;63
25/09/2016;21;64
25/09/2016;22;64
25/09/2016;23;55
25/09/2016;24;52
